user_id,item_list
93,18231 18236 18238 9199 725 9203 3565 7592 3572 3527 
94,5294 5296 8470 15855 15892 5287 4360 3307 15853 8984 
95,735 739 15908 737 1944 736 13837 738 13838 5700 
96,10142 14851 14867 14870 3100 9145 14852 10141 14847 7602 
97,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
98,6967 15982 8391 12371 9817 12325 303 9893 3516 13783 
102,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
103,9093 5562 16176 16179 5508 8505 3805 10112 4514 15104 
104,5918 5645 3654 5296 4691 4687 5921 7495 187 15892 
105,9133 11309 11733 11734 3827 17955 9124 8937 3805 737 
106,15398 18330 5343 17866 15686 4283 621 12747 5933 3908 
108,10068 8179 379 18094 18101 6404 254 18096 8564 7584 
109,4361 7657 7659 7661 6292 5113 16219 12816 6289 8984 
110,15120 10068 521 6404 9712 197 8638 8516 8666 9461 
111,10227 6404 4280 4844 7310 4279 4410 8668 4702 16118 
112,4194 4123 17559 160 4361 2775 13206 4034 16224 9302 
113,12469 8445 4657 4634 8668 4280 194 15119 8414 2301 
114,11191 5895 5896 15119 15120 2586 4280 5897 4279 6530 
115,7711 4630 4652 5194 5262 5564 6513 6296 5575 10534 
116,189 192 197 9126 187 9475 4691 15030 10809 9476 
117,9477 16659 7583 15030 7198 3565 8668 6167 12469 8638 
118,5653 5044 5649 5656 5470 5664 17835 4416 17600 12410 
119,8516 17547 8519 8556 15043 8523 8506 3057 8505 8513 
120,3568 379 6207 18094 6831 18101 5724 6203 6530 6204 
122,9048 14845 7687 14887 3123 2736 3129 17741 3127 6394 
123,4284 4361 6404 4844 7310 7883 10466 4280 4410 12469 
124,5653 5044 5661 5664 10423 17835 5656 2453 6246 5649 
125,8638 10227 12469 6289 4657 5113 8666 2301 197 9461 
126,4357 3898 16376 7455 16374 4343 5143 17870 3568 4034 
127,15114 10068 5044 7581 8668 197 8666 12469 2301 5896 
128,4124 4123 4194 6213 17732 4034 17735 17559 657 4365 
129,187 4280 10068 6018 8635 8638 10055 4410 8179 4634 
130,9204 9203 9202 3572 3805 5561 9206 8982 3565 6526 
131,10227 8638 6404 5113 7581 6289 8666 8982 10466 2301 
132,17955 4361 3922 5297 8638 8982 15892 4634 4657 3806 
134,9128 11734 8564 11309 736 15908 11733 8565 8570 8569 
135,6528 8414 8666 8008 7581 15101 9446 17989 15100 15099 
136,3568 8635 10227 4779 2301 4791 4657 5143 5593 12469 
137,8638 12469 10067 4657 5142 5113 15892 4634 2301 8666 
138,8500 5645 10466 7310 6292 6289 8179 5113 17955 4057 
139,7495 5508 7493 5561 3805 10466 1212 6292 6289 4844 
140,5297 11222 11220 7172 7310 5113 10466 4024 14847 3902 
141,5297 7310 15674 14883 4024 3902 14847 5331 12813 9456 
142,15819 5483 16384 4361 16222 5481 3827 12186 12194 13949 
143,4748 9302 17790 6207 6203 10466 6204 6201 11834 6200 
144,8638 10227 12469 6289 4657 5113 8666 2301 197 9461 
145,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
146,4634 18098 18097 18101 18100 18092 10167 18094 9303 5143 
149,10068 7437 6289 197 7190 5113 8481 2301 7310 4634 
150,7661 7657 7662 11929 4202 5602 6931 14436 4440 5603 
151,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
152,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
153,17955 4361 3922 5297 8638 8982 15892 4634 4657 3806 
155,8849 5895 1904 5896 4251 2500 2121 5729 5143 7493 
156,724 5508 5562 5695 3805 3387 6686 7627 17507 16485 
157,14084 7216 2361 18185 13146 10771 15686 7487 9625 16272 
158,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
159,7455 8668 12469 8414 2301 3845 7581 10227 4657 4634 
160,6289 9303 17951 7581 8666 8481 8635 5113 10227 10466 
161,3902 5113 5112 8179 8724 15854 11222 7310 6289 8483 
162,4657 4634 15101 15100 15099 4731 4712 12469 4711 4727 
163,735 11734 11733 15908 738 17550 5700 13837 10813 15907 
164,18096 18094 1689 379 18101 1691 4798 18098 18097 8034 
165,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
166,6776 6780 15132 9319 1637 14465 12766 6445 5756 3084 
167,4702 4710 4703 15217 4346 8414 9461 4359 4723 8666 
168,189 187 192 6530 194 3572 10227 9940 13836 10232 
169,8795 8664 521 4121 16442 13055 3598 5295 7353 5296 
170,4657 15114 5726 4279 8666 9461 10227 6228 8414 1212 
171,12815 4128 3554 7490 15127 7489 5673 3363 4214 3383 
172,9203 9202 4634 9204 4658 9201 10068 5297 3901 16224 
173,4035 4033 11395 4124 4361 3922 9228 4194 4365 9224 
174,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
175,5273 8214 9477 8635 6404 7581 15119 8666 4691 4657 
176,8515 4983 10141 4985 3569 14865 14864 14847 3127 6530 
177,4280 15101 15102 5561 15099 5508 8506 7651 8500 6404 
178,15458 16220 10466 5143 16211 16175 8483 2301 5147 17990 
179,15398 18096 9302 15707 17594 5297 15892 10067 17597 3105 
180,7662 7657 10227 17750 5113 8638 8635 17748 4844 5677 
181,9053 6798 1944 6794 5678 5677 5645 6796 133 10466 
182,3572 3566 15800 8736 3593 8982 7581 8737 8526 8414 
183,4361 3922 17955 8982 3806 197 5113 4657 10466 15892 
184,4702 3569 5202 1943 18176 5206 5752 4704 4691 5275 
185,12516 8389 8381 3852 8853 3844 6235 6165 4738 10277 
186,4279 8257 7883 3565 3572 7259 5725 9461 6526 8635 
187,4361 3922 17955 8982 3806 197 5113 4657 10466 15892 
188,9477 5921 5920 5562 7455 7706 8257 15030 5919 3805 
189,7883 5562 3902 7884 13838 11734 735 11733 8666 8508 
190,8638 10227 12469 6289 4657 5113 8666 2301 197 9461 
191,17597 16265 17594 10466 4309 6881 17596 10141 7493 2217 
192,17955 4361 3922 5297 8638 8982 15892 4634 4657 3806 
193,3171 9426 5780 12099 15399 14325 11942 12320 11000 8544 
194,4280 6229 5593 7583 5455 8526 1023 8635 5128 4410 
195,4657 3877 8306 5508 4762 5561 8308 5142 4728 8638 
196,10227 8638 6404 5113 7581 6289 8666 8982 10466 2301 
197,13757 14314 15034 751 12607 3778 16152 2590 12342 6889 
199,10068 2301 8638 6404 12469 4762 3572 8666 3565 9303 
200,12059 18071 6741 6971 4984 5522 16460 14883 345 4815 
201,3531 5608 10068 5606 3533 3534 3528 9302 7662 3530 
202,9303 9930 4280 4279 3057 4691 4693 4696 4844 4687 
203,15120 15114 6530 724 4346 5508 3569 3807 4357 5562 
204,13079 12169 9558 9589 4952 5009 4045 9863 1808 16261 
205,4124 4194 4034 16659 9228 4361 17732 9236 11191 17735 
206,18166 4528 8445 5297 8638 18148 4844 8666 8641 8526 
207,8513 17936 376 4737 5566 16235 15927 944 8338 2046 
208,4770 3407 8186 6357 5645 10466 4844 6404 7310 6292 
209,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
210,7885 7884 8445 8506 7889 4844 2301 8638 7581 8668 
211,5012 7443 4346 7441 4357 16376 15852 17870 14089 11147 
212,45 5188 17974 156 4211 209 5204 18230 18308 5458 
213,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
214,4779 618 621 620 6404 10227 6289 5113 5139 8638 
215,9126 9475 7198 5650 3805 5508 5562 15030 9476 5656 
216,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
217,8306 10068 7325 17547 16186 657 7703 5664 4361 7323 
219,197 189 192 5280 10227 5297 8666 7455 7581 6292 
221,5143 4361 8666 1023 5142 8638 5297 3922 4762 10067 
223,520 12469 6528 8982 8666 5143 7581 9446 10142 15099 
224,724 5508 5562 5695 3805 3387 6686 7627 17507 16485 
225,5896 9477 7581 15030 5143 7584 7437 4280 15119 12469 
226,15120 15114 6530 8309 8308 2775 5204 3572 6404 15101 
227,17835 3105 14847 5113 6404 10227 6289 5297 3604 17955 
228,8261 8259 17768 4384 7215 15801 5550 376 3657 5929 
229,197 4280 192 194 739 187 735 4728 15908 11782 
230,4361 3922 17955 8982 3806 197 5113 4657 10466 15892 
231,17955 4361 3922 5297 8638 8982 15892 4634 4657 3806 
232,8564 17835 4513 5120 10169 5128 8565 10166 10067 7196 
233,17955 4361 3922 5297 8638 8982 15892 4634 4657 3806 
234,4124 4034 4361 17558 4035 17559 17732 657 17735 4142 
235,4657 3529 4658 3528 3531 3530 3534 7661 7657 7662 
237,5921 5922 13208 8483 5919 5114 5112 10466 10141 8638 
238,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
239,9203 9202 9201 9208 5682 3593 6526 6228 15222 9446 
240,15120 9203 9202 15114 9206 15102 15099 15227 15100 9201 
241,12357 12355 10466 8186 6794 14847 8668 8481 7581 4057 
242,6404 10227 4410 4279 4844 8666 4280 7581 8638 5113 
243,4770 5128 4514 2301 8638 5142 8445 4691 5196 4693 
244,3654 10914 5061 3842 3642 4629 5516 5737 7495 3838 
245,14234 2808 11943 17284 9540 13109 11063 11047 3828 8839 
246,7885 7884 4768 7887 6156 7888 3430 7889 12831 16576 
248,197 194 187 16293 5190 5679 5508 4844 4771 5192 
250,9605 8196 12047 3078 1344 2279 11314 18301 6810 4384 
252,8445 4844 8666 16222 8526 8635 8638 6289 1212 6404 
254,15102 5561 3805 15099 15100 3569 724 6948 12469 6530 
255,6955 5276 5280 5113 11301 197 5275 4634 7199 8306 
256,8668 12469 8414 2301 7581 10227 5143 5142 4657 4634 
257,18101 18100 8666 9128 8638 6798 5142 2301 7581 18096 
258,11834 12720 2232 814 13348 15136 889 15157 6464 7870 
259,4844 14282 8473 10227 6404 3509 5120 5297 4357 5645 
260,4361 3922 17955 8982 3806 197 5113 4657 10466 15892 
261,4637 7496 4706 9205 4654 7493 75 8505 4723 3593 
262,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
263,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
264,10227 8638 6404 5113 7581 6289 8666 8982 10466 2301 
265,8009 9451 5031 8011 4762 8943 6958 8637 13837 5553 
266,17955 4361 3922 5297 8638 8982 15892 4634 4657 3806 
267,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
268,9202 9206 9201 6934 9205 9208 5113 8982 7592 4785 
269,18150 8306 8308 6118 9930 17936 18157 18168 5645 16724 
270,4361 3922 17955 8982 3806 197 5113 4657 10466 15892 
271,728 5542 5537 6296 18271 964 17968 7385 8508 15003 
273,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
274,6528 75 15892 16099 8982 8008 3127 16097 12469 8414 
275,4035 4033 3922 4361 9228 4194 9132 4365 10813 9224 
276,4410 5005 5518 4696 3604 4416 3509 9948 4242 7174 
277,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
278,15100 15099 12469 15120 8414 15119 7581 3879 6526 8667 
279,16661 2875 227 3252 3251 2876 5518 14473 8021 8765 
280,3105 8638 10142 17962 4309 14315 4057 8478 15892 5114 
281,3565 3593 8982 3582 8404 9446 3568 7581 8984 3595 
282,197 194 187 13208 12705 3806 5044 14979 13210 1212 
283,8638 12469 10067 4657 5142 5113 15892 4634 2301 8666 
284,18096 18095 18097 18094 18092 379 18101 18100 9655 18093 
285,8638 12469 10067 4657 5142 5113 15892 4634 2301 8666 
286,8638 10227 12469 6289 4657 5113 8666 2301 197 9461 
288,10067 10166 5044 5649 5657 10297 652 10167 4748 10830 
289,6404 10227 4410 4279 4844 8666 4280 7581 8638 5113 
290,6172 6174 6173 13955 5261 13956 6170 5249 4711 6463 
291,15101 15100 15102 6514 4977 5281 5005 12469 5280 5199 
292,8854 8856 8853 14422 14312 11944 10841 3856 11239 4272 
294,8638 10227 12469 6289 4657 5113 8666 2301 197 9461 
296,3922 4361 17955 8481 5113 6289 197 8982 10466 6292 
298,8306 8308 9228 17559 4123 3922 9236 4035 16224 7699 
300,15114 725 5897 12469 11733 15101 15100 9461 15102 6404 
301,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
302,11733 8638 6289 2301 5113 4630 6292 7661 10227 7657 
304,4657 7581 15101 15100 2301 9303 8309 10142 15102 18360 
305,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
306,3566 4704 9303 7581 3593 8515 17951 9446 8984 7662 
307,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
308,4346 4357 4359 16374 16377 5297 4352 7310 3902 5304 
310,3901 11260 8564 4748 11256 4251 11272 16530 17790 4795 
311,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
313,724 18096 10227 4279 18095 18097 18094 18092 18225 379 
314,6289 5113 8481 7310 6881 5112 4844 4057 10469 8483 
315,5508 5561 3805 15502 2301 5044 3806 1023 7651 5143 
316,3593 3565 3576 3594 3880 4691 9208 1932 3566 4687 
317,12469 15101 3565 8414 7581 15100 3572 15102 8008 8526 
318,8638 10227 12469 6289 4657 5113 8666 2301 197 9461 
319,10466 6404 4844 6289 8638 6883 4410 8666 8635 7310 
320,5113 6289 7310 10227 6404 4844 17614 5562 5645 8483 
321,3572 3566 3593 8982 12355 3576 6526 8414 9208 8638 
323,4279 9262 9263 5728 9259 5593 5724 8635 5725 5719 
324,5192 12469 4747 6528 8008 8666 8982 9446 5189 7581 
325,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
326,9228 9236 4035 4123 17732 7323 9103 4077 9227 851 
327,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
328,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
329,3922 4361 17955 8481 5113 6289 197 8982 10466 6292 
330,5508 4701 4690 5113 5561 6289 5933 1023 8481 3805 
332,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
334,10227 8638 6404 5113 7581 6289 8666 8982 10466 2301 
336,5297 8483 6202 10466 15892 4410 6203 5301 5114 5112 
337,3268 4936 6135 15110 15204 13582 3610 14727 3424 16733 
338,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
339,8214 15892 3528 3530 12469 15458 3105 5297 4779 7657 
340,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
341,3572 3566 5561 3805 145 7581 5560 724 10466 6526 
342,10938 10937 10940 10934 6513 10939 4949 9975 3626 4348 
343,4280 7326 6157 7325 15443 5147 15447 5593 6131 234 
344,4747 8668 8445 8638 4844 8526 1212 8635 5664 7581 
345,9303 4790 7824 5113 16148 7583 7823 5455 16460 7581 
346,4361 3922 17955 8982 3806 197 5113 4657 10466 15892 
348,4657 4634 4977 5005 10466 5114 5112 4728 4844 6404 
349,3807 6289 8478 4629 10141 5560 18185 12763 7172 8481 
350,187 7495 9477 18166 3842 12257 11734 5281 4691 7659 
351,8638 12469 10067 4657 5142 5113 15892 4634 2301 8666 
352,18146 18158 18157 3555 3556 3554 16162 6516 8587 14250 
353,4844 6018 5113 8635 6516 8638 6289 6551 14250 4280 
356,9302 5113 3898 7657 6289 5112 7659 7661 4057 5623 
357,4657 15102 4638 4034 197 192 12469 4194 5562 187 
359,3922 4361 17955 8481 5113 6289 197 8982 10466 6292 
360,6798 10466 5297 8506 6794 8473 8523 5610 8481 8519 
361,6258 8162 6800 1690 6831 6468 5084 18110 7868 14452 
362,4687 3105 18157 4844 3541 4696 6510 5664 10466 5926 
363,3877 3879 5113 621 619 6404 10466 10227 5143 6292 
364,10227 8638 6404 5113 7581 6289 8666 8982 10466 2301 
365,3922 4361 17955 8481 5113 6289 197 8982 10466 6292 
366,6706 14727 18441 2486 10954 7785 7292 4778 9609 11259 
367,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
368,8668 4844 12469 4242 8414 8638 2301 9461 7581 10227 
369,15102 15099 15100 5294 5645 12469 5296 18172 6650 17929 
370,4361 5297 3922 6292 4033 4034 4365 6780 4070 4168 
371,15496 12469 8414 6526 3565 5677 5681 8982 15118 5649 
372,8638 10227 12469 6289 4657 5113 8666 2301 197 9461 
374,145 5189 3922 4357 3251 17314 16376 8666 6685 4792 
375,15119 4844 3568 9712 739 10466 735 15101 8635 5508 
376,6888 6889 5834 10491 5299 4036 12699 12486 5641 10496 
377,4190 16182 660 4309 7336 4191 16226 5695 6824 467 
378,3572 3566 3593 9302 3594 8982 7581 3884 3582 9208 
379,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
380,17836 4346 18343 4357 7642 4359 4762 5589 4352 3252 
381,3806 6943 5560 4747 5465 6035 7708 5220 18286 5664 
382,4035 2301 4033 4783 8638 7583 3922 10227 5113 5147 
384,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
385,13836 18293 3851 8795 10830 6695 6958 9004 5225 489 
386,8031 6296 7703 17558 9224 16224 17559 3922 4034 4365 
387,4194 4123 4193 18360 8940 17988 5554 5553 8011 10594 
388,4658 7581 10227 5897 8526 9461 6526 4280 8445 8667 
389,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
391,7662 7661 9126 6798 9475 5113 4355 15030 5602 6883 
392,15114 5113 8635 4844 9461 15101 10466 6292 6530 5112 
393,10227 8638 6404 5113 7581 6289 8666 8982 10466 2301 
394,17955 4361 3922 5297 8638 8982 15892 4634 4657 3806 
395,17750 4977 4717 5005 4720 17748 6404 10227 6289 17747 
397,5586 5433 5550 6900 3285 7348 8513 18138 3976 3290 
398,4361 3922 17955 8982 3806 197 5113 4657 10466 15892 
399,3565 15102 15100 12469 4280 8414 3569 8982 8526 9448 
400,8638 6289 4410 5113 7581 10227 6404 4844 3806 14847 
401,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
402,4638 10466 6798 5645 5708 8483 6292 4844 14847 4984 
403,8515 16137 738 11733 11734 739 15908 736 737 17550 
404,4194 4361 16224 17735 17732 4034 3922 4035 7703 16182 
406,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
407,8516 9477 5174 5193 5195 4777 15030 8523 12469 5211 
408,4634 4658 10227 6404 5113 9302 8666 7197 18175 9461 
409,532 527 16178 525 16179 4287 7326 528 6292 5143 
410,7495 5142 2301 2234 5921 3842 3654 5920 3806 4762 
411,11220 11218 5114 6265 5562 18191 4952 6393 5262 5508 
412,3531 16292 10227 4844 8668 3533 8523 7581 8635 5113 
413,3252 5297 7479 6817 8483 5147 18181 7708 5294 5301 
414,10227 8638 6404 5113 7581 6289 8666 8982 10466 2301 
416,192 187 194 1212 5645 10466 5508 5562 6289 6292 
417,11214 13325 2234 1321 1075 8028 16303 600 8135 11886 
418,8347 16376 4346 4082 4357 7719 4083 5736 231 7490 
419,12815 8519 15458 7662 9228 8508 7659 7661 10298 4795 
420,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
421,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
422,4361 3922 17955 8982 3806 197 5113 4657 10466 15892 
423,4658 7493 189 187 5175 4629 192 5297 5294 194 
424,9093 10112 5416 8914 9465 8915 5417 9911 8506 13577 
425,15237 15238 11189 10218 5469 8467 7059 18250 8666 4838 
426,15101 9461 9477 15099 8414 6404 15100 8666 5897 3877 
427,4844 5113 8635 6289 7581 8445 4410 10227 8668 6018 
428,15100 15099 4018 7581 6526 8666 15119 15120 8008 9448 
429,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
430,4279 3806 8565 10227 6404 4844 1212 10163 4691 12037 
431,4703 4704 4691 4687 4128 5297 6292 4410 4844 3541 
432,8306 5112 6289 8309 6404 7310 4795 4844 8481 4057 
433,5114 17559 10466 5143 32 15519 7310 3922 5112 4844 
434,15102 15100 12469 6934 15120 15119 9448 15114 7581 6292 
435,3565 5273 3566 18098 18097 18100 18092 18101 18094 18093 
436,10067 15101 6530 9461 3877 15100 9712 12469 15099 3876 
437,3533 4279 3528 5113 3535 10068 6985 3530 8668 4844 
438,9204 15100 4634 5562 12469 4658 17041 5192 13421 5190 
439,724 5273 3529 4748 6796 3533 3527 5650 6794 3528 
440,15204 17661 7450 12940 8745 4086 14282 10830 7416 11752 
441,6881 345 4844 391 4420 14780 4207 9057 566 2185 
443,16530 16506 16528 16240 10024 762 16179 5294 6601 16519 
444,17955 4361 3922 5297 8638 8982 15892 4634 4657 3806 
445,4704 521 17506 17508 4526 4528 6888 16097 7584 17790 
446,4446 7455 4070 7457 13838 10068 15907 10067 15707 5753 
447,8638 12469 10067 4657 5142 5113 15892 4634 2301 8666 
448,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
449,4657 4658 6404 5113 6292 8186 8483 4844 10466 6309 
450,197 192 194 10167 5897 5895 2301 1212 8565 8635 
453,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
454,4124 4193 4194 7326 17957 6156 4361 17732 3834 5516 
455,8347 7496 7495 16659 6119 3654 6167 5736 3842 6118 
456,15810 16512 11457 3561 17505 15822 3449 15615 12863 3541 
457,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
458,9115 11233 5141 13842 16170 10575 8203 3934 16022 5189 
459,8638 12469 10067 4657 5142 5113 15892 4634 2301 8666 
460,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
461,530 527 6918 525 3554 5673 9224 6919 5672 3922 
462,4658 17259 1944 4728 5143 8666 9461 6648 4638 3845 
463,521 10569 8130 8706 5684 8190 15892 10960 10830 1561 
464,5143 16339 1212 8638 16273 5128 8666 5147 1023 5508 
465,2301 8526 12469 6229 8668 4762 5143 5147 4634 8414 
467,4528 15222 15227 4124 6934 5192 5297 4123 15228 3807 
468,5672 5562 5431 5147 5297 5143 3572 5508 8481 3565 
471,9092 11733 10466 6798 8347 10141 5297 5044 14847 13837 
472,4279 189 197 9302 8666 194 1212 5562 4527 7581 
473,520 7883 18096 6528 7885 8008 12469 8982 7326 8414 
474,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
475,6798 6794 5645 6796 10466 6806 4937 4359 7354 5610 
476,4361 3922 17955 8982 3806 197 5113 4657 10466 15892 
477,5550 6900 7348 4379 15800 10445 15880 5551 12701 13016 
479,11890 8523 8513 8519 18201 18142 18108 15601 16439 13267 
480,3897 1492 2669 1782 2121 2318 11496 8891 5518 1150 
481,4034 3922 3807 9224 5560 6289 3572 3565 5742 17768 
482,7496 7493 4630 11734 6117 3806 736 13838 6118 11301 
483,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
484,5562 8668 7662 7581 7651 7659 5561 4034 3805 2301 
